mouse,distance_microns,grey_value,grey_value_normalised,,
A,131.024,11.3913,0.057070075,9.4534,43.4099
A,131.648,11.7205,0.066764831,9.4534,43.4099
A,132.272,11.7453,0.067495178,9.4534,43.4099
A,132.896,11.5714,0.06237392,9.4534,43.4099
A,133.52,11.3168,0.054876091,9.4534,43.4099
A,134.144,11.323,0.055058678,9.4534,43.4099
A,134.768,11.323,0.055058678,9.4534,43.4099
A,135.392,11.2112,0.05176623,9.4534,43.4099
A,136.016,11.354,0.055971611,9.4534,43.4099
A,136.64,11.2484,0.05286175,9.4534,43.4099
A,137.264,11.0248,0.046276854,9.4534,43.4099
A,137.888,10.9503,0.044082871,9.4534,43.4099
A,138.512,11.1118,0.048838956,9.4534,43.4099
A,139.135,11.1553,0.050120006,9.4534,43.4099
A,139.759,11.0621,0.047375318,9.4534,43.4099
A,140.383,11.0994,0.048473783,9.4534,43.4099
A,141.007,11.1242,0.049204129,9.4534,43.4099
A,141.631,11.2298,0.05231399,9.4534,43.4099
A,142.255,11.5093,0.060545109,9.4534,43.4099
A,142.879,11.4658,0.059264058,9.4534,43.4099
A,143.503,11.5528,0.06182616,9.4534,43.4099
A,144.127,11.6211,0.063837557,9.4534,43.4099
A,144.751,11.6087,0.063472384,9.4534,43.4099
A,145.375,11.4596,0.059081472,9.4534,43.4099
A,145.999,11.3727,0.056522315,9.4534,43.4099
A,146.623,11.472,0.059446645,9.4534,43.4099
A,147.246,11.5963,0.063107211,9.4534,43.4099
A,147.87,12.0062,0.075178537,9.4534,43.4099
A,148.494,12.1553,0.079569449,9.4534,43.4099
A,149.118,11.9317,0.072984554,9.4534,43.4099
A,149.742,11.4907,0.05999735,9.4534,43.4099
A,150.366,11.3665,0.056339729,9.4534,43.4099
A,150.99,11.4037,0.057435248,9.4534,43.4099
A,151.614,11.6087,0.063472384,9.4534,43.4099
A,152.238,11.5155,0.060727696,9.4534,43.4099
A,152.862,11.5901,0.062924624,9.4534,43.4099
A,153.486,11.6273,0.064020143,9.4534,43.4099
A,154.11,11.5342,0.0612784,9.4534,43.4099
A,154.734,11.3851,0.056887488,9.4534,43.4099
A,155.358,11.2298,0.05231399,9.4534,43.4099
A,155.981,11.2981,0.054325387,9.4534,43.4099
A,156.605,11.4472,0.058716299,9.4534,43.4099
A,157.229,11.4224,0.057985953,9.4534,43.4099
A,157.853,11.236,0.052496577,9.4534,43.4099
A,158.477,11.0559,0.047192732,9.4534,43.4099
A,159.101,11.0994,0.048473783,9.4534,43.4099
A,159.725,11.1615,0.050302593,9.4534,43.4099
A,160.349,11.3727,0.056522315,9.4534,43.4099
A,160.973,11.6957,0.066034485,9.4534,43.4099
A,161.597,11.6087,0.063472384,9.4534,43.4099
A,162.221,11.4845,0.059814763,9.4534,43.4099
A,162.845,11.472,0.059446645,9.4534,43.4099
A,163.469,11.4596,0.059081472,9.4534,43.4099
A,164.092,11.5093,0.060545109,9.4534,43.4099
A,164.716,11.3975,0.057252661,9.4534,43.4099
A,165.34,10.9814,0.044998748,9.4534,43.4099
A,165.964,10.6832,0.036216925,9.4534,43.4099
A,166.588,10.8323,0.040607836,9.4534,43.4099
A,167.212,10.8509,0.041155596,9.4534,43.4099
A,167.836,10.8882,0.04225406,9.4534,43.4099
A,168.46,10.795,0.039509372,9.4534,43.4099
A,169.084,10.6335,0.034753287,9.4534,43.4099
A,169.708,10.4099,0.028168392,9.4534,43.4099
A,170.332,10.795,0.039509372,9.4534,43.4099
A,170.956,11.3106,0.054693505,9.4534,43.4099
A,171.58,11.6087,0.063472384,9.4534,43.4099
A,172.204,11.6087,0.063472384,9.4534,43.4099
A,172.827,11.4658,0.059264058,9.4534,43.4099
A,173.451,11.1242,0.049204129,9.4534,43.4099
A,174.075,10.8944,0.042436647,9.4534,43.4099
A,174.699,10.9255,0.043352525,9.4534,43.4099
A,175.323,10.8882,0.04225406,9.4534,43.4099
A,175.947,10.7453,0.038045735,9.4534,43.4099
A,176.571,10.5963,0.033657768,9.4534,43.4099
A,177.195,10.6646,0.035669165,9.4534,43.4099
A,177.819,11,0.045546508,9.4534,43.4099
A,178.443,10.9752,0.044816162,9.4534,43.4099
A,179.067,10.9752,0.044816162,9.4534,43.4099
A,179.691,11.0373,0.046644972,9.4534,43.4099
A,180.315,10.8075,0.03987749,9.4534,43.4099
A,180.938,10.5342,0.031828958,9.4534,43.4099
A,181.562,10.4969,0.030730493,9.4534,43.4099
A,182.186,10.6708,0.035851752,9.4534,43.4099
A,182.81,10.6025,0.033840355,9.4534,43.4099
