mouse,distance_microns,grey_value,grey_value_normalised,,
A,149.742,19.5839,0.622086071,7.8261,26.7267
A,150.366,21.6708,0.732500556,7.8261,26.7267
A,150.99,22.0745,0.753859666,7.8261,26.7267
A,151.614,21.2981,0.712781605,7.8261,26.7267
A,152.238,20.1863,0.653958075,7.8261,26.7267
A,152.862,19.7329,0.629969419,7.8261,26.7267
A,153.486,20.8758,0.690438399,7.8261,26.7267
A,154.11,21.4286,0.719686148,7.8261,26.7267
A,154.734,20.9193,0.692739913,7.8261,26.7267
A,155.358,20.4596,0.668417934,7.8261,26.7267
A,155.981,20.118,0.650344434,7.8261,26.7267
A,156.605,19.3168,0.607954245,7.8261,26.7267
A,157.229,19.4845,0.616826979,7.8261,26.7267
A,157.853,20.3665,0.663492164,7.8261,26.7267
A,158.477,20.7205,0.682221728,7.8261,26.7267
A,159.101,19.8385,0.635556543,7.8261,26.7267
A,159.725,19.2919,0.606636826,7.8261,26.7267
A,160.349,19.3975,0.612223951,7.8261,26.7267
A,160.973,20.323,0.66119065,7.8261,26.7267
A,161.597,20.7826,0.685507338,7.8261,26.7267
A,162.221,20.1739,0.653302012,7.8261,26.7267
A,162.845,19.5466,0.620112589,7.8261,26.7267
A,163.469,19.3789,0.611239855,7.8261,26.7267
A,164.092,20.2795,0.658889136,7.8261,26.7267
A,164.716,21.0186,0.697993714,7.8261,26.7267
A,165.34,21.3168,0.713770991,7.8261,26.7267
A,165.964,21.8012,0.739399807,7.8261,26.7267
A,166.588,21.0994,0.702268711,7.8261,26.7267
A,167.212,20.2795,0.658889136,7.8261,26.7267
A,167.836,20.7888,0.68583537,7.8261,26.7267
A,168.46,20.7143,0.681893696,7.8261,26.7267
A,169.084,20.4845,0.669735352,7.8261,26.7267
A,169.708,20.7329,0.682877792,7.8261,26.7267
A,170.332,20.4348,0.667105806,7.8261,26.7267
A,170.956,20,0.644101245,7.8261,26.7267
A,171.58,19.9317,0.640487604,7.8261,26.7267
A,172.204,19.8075,0.633916384,7.8261,26.7267
A,172.827,20.2298,0.65625959,7.8261,26.7267
A,173.451,20.5963,0.675650508,7.8261,26.7267
A,174.075,21.7391,0.736114197,7.8261,26.7267
A,174.699,20.4658,0.668745966,7.8261,26.7267
A,175.323,18.236,0.550770875,7.8261,26.7267
A,175.947,18.8696,0.58429362,7.8261,26.7267
A,176.571,19.1304,0.598092124,7.8261,26.7267
A,177.195,19.1242,0.597764092,7.8261,26.7267
A,177.819,18.4348,0.56128906,7.8261,26.7267
A,178.443,18.4534,0.562273155,7.8261,26.7267
A,179.067,19.3665,0.610583791,7.8261,26.7267
A,179.691,20.0062,0.644429277,7.8261,26.7267
A,180.315,19.9068,0.639170185,7.8261,26.7267
A,180.938,19.472,0.616165624,7.8261,26.7267
A,181.562,18.6832,0.5744315,7.8261,26.7267
A,182.186,19.5342,0.619456525,7.8261,26.7267
A,182.81,19.4224,0.613541369,7.8261,26.7267
A,183.434,19.7391,0.630297451,7.8261,26.7267
A,184.058,20.0683,0.647714887,7.8261,26.7267
A,184.682,20.6646,0.67926415,7.8261,26.7267
A,185.306,19.9752,0.642789118,7.8261,26.7267
A,185.93,19.6149,0.623726231,7.8261,26.7267
A,186.554,19.7826,0.632598965,7.8261,26.7267
A,187.178,19.3043,0.60729289,7.8261,26.7267
A,187.802,19.4658,0.615837592,7.8261,26.7267
A,188.426,19,0.591192872,7.8261,26.7267
A,189.05,19.3851,0.611567887,7.8261,26.7267
A,189.673,19.8758,0.637530026,7.8261,26.7267
A,190.297,19.1988,0.601711057,7.8261,26.7267
A,190.921,19.3913,0.611895919,7.8261,26.7267
A,191.545,19.6957,0.628001227,7.8261,26.7267
A,192.169,19.8137,0.634244416,7.8261,26.7267
A,192.793,20.0435,0.64640276,7.8261,26.7267
A,193.417,20.4907,0.670063384,7.8261,26.7267
A,194.041,20.1925,0.654286107,7.8261,26.7267
A,194.665,20.0248,0.645413373,7.8261,26.7267
A,195.289,20.1553,0.652317916,7.8261,26.7267
A,195.913,19.3789,0.611239855,7.8261,26.7267
A,196.537,19.913,0.639498217,7.8261,26.7267
A,197.161,19.5652,0.621096685,7.8261,26.7267
A,197.784,19.5901,0.622414103,7.8261,26.7267
A,198.408,20.4845,0.669735352,7.8261,26.7267
A,199.032,21.3789,0.717056601,7.8261,26.7267
A,199.656,20.0124,0.644757309,7.8261,26.7267
A,200.28,20.5093,0.67104748,7.8261,26.7267
A,200.904,21.5963,0.728558882,7.8261,26.7267
A,201.528,20.8199,0.687480821,7.8261,26.7267
A,202.152,20.0807,0.648370951,7.8261,26.7267
A,202.776,20.6087,0.676306572,7.8261,26.7267
A,203.4,19.7329,0.629969419,7.8261,26.7267
A,204.024,19.2795,0.605980763,7.8261,26.7267
A,204.648,18.795,0.580346656,7.8261,26.7267
A,205.272,18.441,0.561617092,7.8261,26.7267
A,205.896,19.5901,0.622414103,7.8261,26.7267
A,206.519,19.9006,0.638842153,7.8261,26.7267
A,207.143,19.5217,0.618795171,7.8261,26.7267
A,207.767,19.8944,0.638514121,7.8261,26.7267
A,208.391,19.7081,0.628657291,7.8261,26.7267
A,209.015,19.646,0.625371681,7.8261,26.7267
A,209.639,20.3292,0.661518682,7.8261,26.7267
A,210.263,19.1491,0.599081511,7.8261,26.7267
A,210.887,18.9006,0.58593378,7.8261,26.7267
A,211.511,19.8323,0.635228511,7.8261,26.7267
A,212.135,19.8696,0.637201994,7.8261,26.7267
A,212.759,19.9876,0.643445182,7.8261,26.7267
A,213.383,20.2671,0.658233072,7.8261,26.7267
A,214.007,20.0311,0.645746696,7.8261,26.7267
A,214.63,20.0621,0.647386855,7.8261,26.7267
A,215.254,19.795,0.633255029,7.8261,26.7267
A,215.878,20.2795,0.658889136,7.8261,26.7267
A,216.502,18.9689,0.589547422,7.8261,26.7267
A,217.126,18.4907,0.564246638,7.8261,26.7267
A,217.75,18.7267,0.576733014,7.8261,26.7267
A,218.374,18.6398,0.572135276,7.8261,26.7267
A,218.998,19.0497,0.593822418,7.8261,26.7267
A,219.622,19.8261,0.634900479,7.8261,26.7267
A,220.246,20.0807,0.648370951,7.8261,26.7267
A,220.87,19.4969,0.617483043,7.8261,26.7267
A,221.494,19.795,0.633255029,7.8261,26.7267
A,222.118,19.5466,0.620112589,7.8261,26.7267
A,222.742,18.5342,0.566548152,7.8261,26.7267
A,223.365,18.7205,0.576404982,7.8261,26.7267
A,223.989,19.2857,0.606308794,7.8261,26.7267
A,224.613,19.1242,0.597764092,7.8261,26.7267
A,225.237,18.7205,0.576404982,7.8261,26.7267
A,225.861,18.2112,0.549458747,7.8261,26.7267
A,226.485,18.7019,0.575420886,7.8261,26.7267
A,227.109,18.8634,0.583965588,7.8261,26.7267
A,227.733,19.1739,0.600393638,7.8261,26.7267
A,228.357,18.9689,0.589547422,7.8261,26.7267
A,228.981,19.087,0.595795901,7.8261,26.7267
A,229.605,18.7826,0.579690592,7.8261,26.7267
A,230.229,18.8012,0.580674688,7.8261,26.7267
A,230.853,18.795,0.580346656,7.8261,26.7267
A,231.476,19.1925,0.601377734,7.8261,26.7267
A,232.1,19.3665,0.610583791,7.8261,26.7267
A,232.724,19.4099,0.612880014,7.8261,26.7267
A,233.348,18.646,0.572463308,7.8261,26.7267
A,233.972,17.6335,0.51889358,7.8261,26.7267
A,234.596,17.9006,0.533025407,7.8261,26.7267
A,235.22,18.7888,0.580018624,7.8261,26.7267
A,235.844,19.646,0.625371681,7.8261,26.7267
A,236.468,20.4845,0.669735352,7.8261,26.7267
A,237.092,20.0683,0.647714887,7.8261,26.7267
A,237.716,18.8261,0.581992106,7.8261,26.7267
A,238.34,18.7329,0.577061046,7.8261,26.7267
A,238.964,18.5901,0.56950573,7.8261,26.7267
A,239.587,19.1242,0.597764092,7.8261,26.7267
A,240.211,19.6522,0.625699713,7.8261,26.7267
A,240.835,19.8199,0.634572447,7.8261,26.7267
A,241.459,19.9379,0.640815635,7.8261,26.7267
A,242.083,19.8137,0.634244416,7.8261,26.7267
A,242.707,19.6398,0.625043649,7.8261,26.7267
A,243.331,19.0186,0.592176968,7.8261,26.7267
A,243.955,19.0683,0.594806514,7.8261,26.7267
A,244.579,19.236,0.603679248,7.8261,26.7267
A,245.203,18.1988,0.548802684,7.8261,26.7267
A,245.827,18.1429,0.545845105,7.8261,26.7267
A,246.451,18.472,0.563257251,7.8261,26.7267
A,247.075,18.4596,0.562601187,7.8261,26.7267
A,247.699,18.7329,0.577061046,7.8261,26.7267
A,248.322,18.8944,0.585605748,7.8261,26.7267
A,248.946,18.7578,0.578378464,7.8261,26.7267
A,249.57,18.5652,0.568188311,7.8261,26.7267
A,250.194,18.559,0.56786028,7.8261,26.7267
A,250.818,18.8882,0.585277716,7.8261,26.7267
A,251.442,18.9627,0.58921939,7.8261,26.7267
A,252.066,19,0.591192872,7.8261,26.7267
A,252.69,18.8385,0.58264817,7.8261,26.7267
A,253.314,18.8137,0.581336042,7.8261,26.7267
A,253.938,19.6211,0.624054263,7.8261,26.7267
A,254.562,19.559,0.620768653,7.8261,26.7267
A,255.186,19.9317,0.640487604,7.8261,26.7267
A,255.81,20.118,0.650344434,7.8261,26.7267
A,256.434,19.0186,0.592176968,7.8261,26.7267
A,257.057,18.7081,0.575748918,7.8261,26.7267
A,257.681,18.4783,0.563590574,7.8261,26.7267
A,258.305,19.2236,0.603023184,7.8261,26.7267
A,258.929,20.1304,0.651000497,7.8261,26.7267
A,259.553,19.472,0.616165624,7.8261,26.7267
A,260.177,18.4348,0.56128906,7.8261,26.7267
A,260.801,17.8882,0.532369343,7.8261,26.7267
A,261.425,18.1988,0.548802684,7.8261,26.7267
A,262.049,18.8075,0.58100801,7.8261,26.7267
A,262.673,18.8447,0.582976202,7.8261,26.7267
A,263.297,18.1491,0.546173137,7.8261,26.7267
A,263.921,18.5901,0.56950573,7.8261,26.7267
A,264.545,18.8075,0.58100801,7.8261,26.7267
A,265.168,18.9627,0.58921939,7.8261,26.7267
A,265.792,18.8323,0.582320138,7.8261,26.7267
A,266.416,19.0621,0.594478482,7.8261,26.7267
A,267.04,19.8261,0.634900479,7.8261,26.7267
A,267.664,19.4099,0.612880014,7.8261,26.7267
A,268.288,18.6646,0.573447404,7.8261,26.7267
A,268.912,18.6149,0.570817858,7.8261,26.7267
A,269.536,19.2422,0.60400728,7.8261,26.7267
