mouse,distance_microns,grey_value,grey_value_normalised,,
A,211.511,9.9876,0.118106944,5.8634,40.7826
A,212.135,9.9876,0.118106944,5.8634,40.7826
A,212.759,9.8571,0.114369745,5.8634,40.7826
A,213.383,10.118,0.121841279,5.8634,40.7826
A,214.007,10.441,0.131091205,5.8634,40.7826
A,214.63,9.8882,0.115260373,5.8634,40.7826
A,215.254,9.559,0.105832894,5.8634,40.7826
A,215.878,9.323,0.099074435,5.8634,40.7826
A,216.502,9.0621,0.0916029,5.8634,40.7826
A,217.126,9.6398,0.108146807,5.8634,40.7826
A,217.75,9.7826,0.112236248,5.8634,40.7826
A,218.374,10.0435,0.119707783,5.8634,40.7826
A,218.998,9.9814,0.117929391,5.8634,40.7826
A,219.622,10.2298,0.125042956,5.8634,40.7826
A,220.246,10.4348,0.130913652,5.8634,40.7826
A,220.87,10.3416,0.128244633,5.8634,40.7826
A,221.494,11,0.14709959,5.8634,40.7826
A,222.118,10.5776,0.135003093,5.8634,40.7826
A,222.742,10.559,0.134470435,5.8634,40.7826
A,223.365,10.882,0.14372036,5.8634,40.7826
A,223.989,10.5963,0.135538615,5.8634,40.7826
A,224.613,10.5776,0.135003093,5.8634,40.7826
A,225.237,10.7888,0.141051341,5.8634,40.7826
A,225.861,10.4472,0.131268758,5.8634,40.7826
A,226.485,10.4161,0.13037813,5.8634,40.7826
A,227.109,9.8882,0.115260373,5.8634,40.7826
A,227.733,10.0373,0.11953023,5.8634,40.7826
A,228.357,10.3851,0.129490366,5.8634,40.7826
A,228.981,10.2236,0.124865404,5.8634,40.7826
A,229.605,9.8323,0.113659534,5.8634,40.7826
A,230.229,9.4907,0.10387695,5.8634,40.7826
A,230.853,9.6149,0.107433733,5.8634,40.7826
A,231.476,9.7019,0.109925199,5.8634,40.7826
A,232.1,10.2298,0.125042956,5.8634,40.7826
A,232.724,10.0435,0.119707783,5.8634,40.7826
A,233.348,10.5093,0.133047149,5.8634,40.7826
A,233.972,10.1491,0.122731907,5.8634,40.7826
A,234.596,10.2174,0.124687851,5.8634,40.7826
A,235.22,10.3168,0.127534422,5.8634,40.7826
A,235.844,10.6335,0.136603931,5.8634,40.7826
A,236.468,10.7081,0.138740292,5.8634,40.7826
A,237.092,10.1304,0.122196385,5.8634,40.7826
A,237.716,10.764,0.14034113,5.8634,40.7826
A,238.34,10.8075,0.141586863,5.8634,40.7826
A,238.964,10.4596,0.131623863,5.8634,40.7826
A,239.587,10.3851,0.129490366,5.8634,40.7826
A,240.211,9.9068,0.115793031,5.8634,40.7826
A,240.835,9.9441,0.116861211,5.8634,40.7826
A,241.459,10.4348,0.130913652,5.8634,40.7826
A,242.083,10.4534,0.13144631,5.8634,40.7826
A,242.707,10.5528,0.134292882,5.8634,40.7826
A,243.331,10.3789,0.129312814,5.8634,40.7826
A,243.955,10.441,0.131091205,5.8634,40.7826
A,244.579,10.4161,0.13037813,5.8634,40.7826
A,245.203,10.2174,0.124687851,5.8634,40.7826
A,245.827,10.323,0.127711975,5.8634,40.7826
A,246.451,10.0994,0.121308621,5.8634,40.7826
A,247.075,10.3602,0.128777292,5.8634,40.7826
A,247.699,10.6025,0.135716168,5.8634,40.7826
A,248.322,10.7391,0.139628056,5.8634,40.7826
A,248.946,10.4348,0.130913652,5.8634,40.7826
A,249.57,10.441,0.131091205,5.8634,40.7826
A,250.194,10.5466,0.134115329,5.8634,40.7826
A,250.818,10.2857,0.126643795,5.8634,40.7826
A,251.442,10.5093,0.133047149,5.8634,40.7826
A,252.066,10.6708,0.137672112,5.8634,40.7826
