cell,animal,layer,type,pharma,drug,epsp,epsp_pk,epsp_latency,epsp_halfwidth,ipsp,ipsp_pk,ipsp_latency,ipsp_halfwidth
896_S1C1_J,896,l2,l2_sc,glut_nbqxapv,baseline,12.406688,13.0066054,3.15728,41.348894,-3.120187,-3.64202,81.62646,63.133174
573_S1C1,573,l2,l2_sc,glut_nbqxapv,nbqx,0.48618134,0.68704482,9.388333333,14.89421357,-0.002675788,-0.312580622,NA,NA
582_S1C1,582,l2,l2_sc,glut_nbqxapv,nbqx,0.410889055,0.66059152,NA,NA,-0.065420314,-0.479408512,NA,NA
737_S2C1,737,l2,l2_sc,glut_nbqxapv,nbqx,0.11781676,0.425292497,NA,NA,NA,-0.427415733,NA,NA
778_S2C1,778,l2,l2_sc,glut_nbqxapv,nbqx,0.380131977,0.7647661,NA,NA,0.022042853,-0.62954656,NA,NA
896_S1C1_J,896,l2,l2_sc,glut_nbqxapv,nbqx,9.4820416,9.7813288,4.312510204,15.23443265,-3.9453576,-4.4922982,57.46318,81.050422
573_S1C1,573,l2,l2_sc,glut_nbqxapv,nbqxapv,-0.010365726,0.292342348,NA,NA,0.025970699,-0.36565679,NA,NA
582_S1C1,582,l2,l2_sc,glut_nbqxapv,nbqxapv,-0.060648585,0.475933815,NA,NA,0.092593902,-0.600889186,NA,NA
737_S2C1,737,l2,l2_sc,glut_nbqxapv,nbqxapv,-0.066215147,0.36124435,NA,NA,NA,-0.517505067,NA,NA
778_S2C1,778,l2,l2_sc,glut_nbqxapv,nbqxapv,0.025724848,0.56601684,NA,NA,0.001162334,-0.77273348,NA,NA
896_S1C1_J,896,l2,l2_sc,glut_nbqxapv,nbqxapv,0.4756073,0.81447008,NA,NA,0.042107578,-0.4715908,NA,NA
