cell,,animal,layer,type,vm,ir_neg,ir_pos,tm_on,tm_neg_off,tm_pos_on,tm_pos_off,sag,ap_thresh,ap_max,ap_halfwidth,rheobase,ahp_max,res_freq,res_mag,morphology_confirmed,dv,dist_psub,expression,response,epsp_tval,epsp_pval,epsp_sig,ipsp_tval,ipsp_pval,ipsp_sig,response_type,biphasic,subthreshold,baseline_vm,epsp,epsp_sd,epsp_pk,epsp_pk_sd,epsp_latency,epsp_latency_sd,epsp_halfwidth,ipsp,ipsp_sd,ipsp_pk,ipsp_pk_sd,ipsp_latency,ipsp_halfwidth,ei,ei_pk,interneuron_type
946_S3C1_J,,946,l2,l2_in,-56.5112,209.442,183.615,10.642,44.0955,8.96183,8.28017,0.907042,-36.315,44.8312,0.37,55.625,-57.3937,14.325,14.4533,N,NA,NA,NA,Y,30.2,0,Y,NA,NA,NA,epsp,N,Y,-56.7565325,4.61989,0.967365372,4.88372075,0.903569449,2.100410256,0.331068344,20.96102333,NA,NA,-0.575184733,0.337046119,NA,NA,1,0.894633689,lts
n_950_S1C2_J,,950,l2,l2_in,-69.6958,149.336,197.786,8.11193,27.049,10.3277,18.0354,0.775793,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,Y,34.5,0,Y,NA,NA,NA,epsp,N,Y,-70.147345,6.81912325,1.223610884,7.11797225,1.182102347,2.183205128,0.494520777,38.12736923,NA,NA,-0.591167803,0.362905384,NA,NA,1,0.923315986,fs
n_956_S1C1_J,,956,l2,l2_in,-71.5077,41.818,52.655,4.46411,3.84284,5.01922,6.20099,0.757169,NA,NA,NA,NA,NA,NA,NA,Y,3.16,478.296,N,Y,36.5,0,Y,NA,NA,NA,epsp,N,Y,-69.09235,7.97349175,1.352753596,8.165319,1.347029582,2.75345,0.187340489,10.57440025,NA,NA,-0.500618525,0.187206252,NA,NA,1,0.942231464,fs
n_956_S1C2_J,,956,l2,l2_in,-74.5072,128.319,142.148,4.19231,7.65058,7.96866,5.09951,0.899233,NA,NA,NA,NA,NA,NA,NA,Y,3.16,478.296,N,Y,33.6,0,Y,NA,NA,NA,epsp,N,Y,-73.4319675,8.2359835,1.990956363,8.439549,2.00188943,2.190725,0.24269713,13.81327,NA,NA,-0.5493588,0.288091657,NA,NA,1,0.938884811,lts
n_956_S2C3_J,,956,l2,l2_in,-66.5168,148.059,150.858,5.82086,6.19066,7.59829,5.30565,0.896241,NA,NA,NA,NA,NA,NA,NA,N,2.68,609.249,N,Y,3.9,0.0003,Y,NA,NA,NA,epsp,N,Y,-64.9882775,0.434216468,0.68056533,1.03678325,0.647580056,NA,NA,NA,NA,NA,-0.8732942,0.611842527,NA,NA,1,0.542796445,fs
1046_S1C1_J,,1046,l2,l2_in,-74.2963,65.563,79.8538,13.7256,5.56532,14.4556,7.6195,0.903855,-42.6425,29.1313,0.1,52.5,-68.7625,NA,NA,N,2.8,NA,Axonal,Y,NA,NA,NA,NA,NA,NA,ap,N,N,-72.36116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lts
1093_S3C1,,1093,l2,l2_in,-78.7327,97.7186,104.727,4.75065,5.10396,6.97412,5.13773,0.90068,-41.925,40.7,0.12,200,-69.6562,1.0833,1.067,Y,2.96,11.231,Axonal,Y,57.2,0,Y,NA,NA,NA,epsp,N,Y,-80.652416,14.054104,1.73681718,14.269288,1.741574337,2.92098,0.205664924,14.042746,NA,NA,-0.3763366,0.129136043,NA,NA,1,0.97430382,fs
1107_S2C1,,1107,l2,l2_in,-54.6578,264.509,216.741,20.0329,18.8823,32.2436,9.13246,0.941414,NA,NA,NA,NA,NA,NA,NA,Y,2.68,445.803,Axonal,Y,6.1,0,Y,NA,NA,NA,epsp,N,Y,-55.77365,0.420561467,0.487998885,0.875531724,0.38469084,NA,NA,NA,NA,NA,-0.624468234,0.452959029,NA,NA,1,0.583687832,lts
1221_S2C1,,1221,l2,l2_in,-69.861,137.4,168.293,9.17117,10.3831,9.30995,7.92962,0.621578,-35.6681,34.0694,0.14,136.25,-66.35,3.9167,1.0382,Y,3.28,106.016,N,N,NA,NA,NA,NA,NA,NA,none,N,Y,-67.4583907,NA,NA,0.686154384,0.575160523,NA,NA,NA,NA,NA,-0.59197086,0.364107928,NA,NA,NA,NA,fs
1237_S1C2,,1237,l2,l2_in,-62.3093,38.0479,46.4392,5.72861,2.42129,3.81269,3.19803,0.895674,-25.3075,39.1131,0.11,492.5,-52.525,7,1.073,Y,3.16,201.222,Axonal,Y,66.6,0,Y,NA,NA,NA,ap,N,N,-58.837278,14.953354,1.588071466,15.251086,1.583236434,3.36254,0.088781596,11.4441794,NA,NA,-0.60397448,0.176230305,NA,NA,1,0.961906517,fs 
1237_S1C1_J,,1237,l2,l2_in,-71.0696,168.448,241.355,7.91016,7.82813,9.93421,12.6323,0.94391,-35.3506,30.0188,0.44,130,-54.5969,2.9167,1.079,N,3.28,30.983,Y,Y,37.4,0,Y,NA,NA,NA,epsp,N,Y,-69.7741963,21.88541111,3.043787042,22.17882593,3.058365132,2.128851852,0.066982032,15.03519259,NA,NA,-0.726630933,2.088811741,NA,NA,1,0.968276951,fs
1240_S2C1,,1240,l2,l2_in,-59.8869,231.873,223.023,8.72298,8.158,6.06604,7.28023,0.802178,-36.8631,48.3975,0.39,85,-57.4969,3.75,1.0591,N,3.44,735.079,Axonal,N,NA,NA,NA,NA,NA,NA,none,N,Y,-53.720218,NA,NA,2.146838906,1.14502128,NA,NA,NA,NA,NA,-1.53997438,0.62735951,NA,NA,NA,NA,lts
1240_S2C1_J,,1240,l2,l2_in,-80.5193,80.7215,80.6538,4.40659,5.88518,5.01338,6.4827,0.912659,-32.3975,29.9281,0.18,332.5,-60.775,1.24,1.0418,N,4.28,97.296,Y,Y,31.5,0,Y,NA,NA,NA,epsp,N,Y,-81.074025,11.31097125,2.268816089,11.546137,2.259542519,2.69565,0.262126369,11.9916,NA,NA,-0.287225725,0.100114682,NA,NA,1,0.975727464,fs
1242_S1C1_J,,1242,l2,l2_in,-67.721,NA,NA,NA,NA,NA,NA,NA,-44.2475,50.8431,0.27,15.625,-65.8219,NA,NA,Y,3.76,417.531,Y,Y,8.3,0,Y,NA,NA,NA,epsp,N,Y,-62.07065588,2.785107259,1.959240036,3.965609559,2.610171673,9.88865,20.73640751,29.3790563,NA,NA,-0.717570394,0.819883422,NA,NA,1,0.846777104,lts
1312_S1C1,,1312,l2,l2_in,-57.639,342.568,152.905,28.8848,29.8984,74.1426,16.1822,0.865243,-35.8813,51.0438,0.75,15,-54.3438,NA,NA,N,3.28,NA,N,N,NA,NA,NA,NA,NA,NA,none,N,Y,-54.55652286,NA,NA,1.289550271,1.35806463,NA,NA,NA,NA,NA,-0.308664426,1.142500476,NA,NA,NA,NA,lts
1312_S1C3,,1312,l2,l2_in,-64.1079,27.214,37.3088,7.91922,7.2605,8.70225,10.2386,0.679104,-34.7375,54.7,0.47,320,-51.125,1,1,N,3.28,NA,N,N,NA,NA,NA,NA,NA,NA,none,N,Y,-63.34496,NA,NA,0.58809334,0.570398094,NA,NA,NA,NA,NA,-0.35815728,0.095971775,NA,NA,NA,NA,fs
1354_S5C1,,1354,l2,l2_in,-79.9323,75.4438,145.182,11.6569,3.9543,4.7347,4.01958,0.937851,-25.5875,38.8375,0.16,315,-49.4063,1.15,1.0123,N,4.44,77.097,Y,Y,NA,NA,NA,NA,NA,NA,ap,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fs
10221_S1C1_J,,10221,l2,l2_in,-68.3128,149.36,178.755,7.59593,9.36629,6.26163,8.03977,0.681447,NA,NA,NA,NA,NA,NA,NA,Y,3.96,50.22,Y,Y,60.6,0,Y,-18.8,0,Y,biphasic,Y,Y,-66.2592525,14.87079,1.848378686,15.90339,1.695858004,2.39,0.138226549,8.063895385,-1.493976225,0.644207987,-3.0549655,1.426075857,82.36313514,27.37567589,0.908707756,0.838859151,fs
20221_S2C2_J,,20221,l2,l2_in,-90.3563,70.4634,63.4634,3.3639,4.95627,23.5785,64.7671,0.919572,NA,NA,NA,NA,NA,NA,NA,Y,4.28,313.427,Axonal,Y,24.6,0,Y,NA,NA,NA,epsp,N,Y,-80.1233625,4.810751225,1.239539268,5.20757875,1.311766,4.2891,11.39024975,10.98453025,NA,NA,-0.755780575,0.326965521,NA,NA,1,0.873262614,fs
141019_S3C1_J,,141019,l2,l2_in,-61.5564,166.641,141.293,13.3688,19.4794,17.5214,37.6477,0.876198,NA,NA,NA,NA,NA,NA,NA,Y,3.6,460.69,Axonal,Y,10.7,0,Y,NA,NA,NA,epsp,N,Y,-65.656392,1.001404328,0.65965321,1.25120138,0.646249082,6.108688889,10.95768082,8.393125467,NA,NA,-0.67542294,0.277686772,NA,NA,1,0.649426755,fs
180321_S1C1_J,,180321,l2,l2_in,-74.9548,112.911,144.053,8.25189,11.4646,12.9229,13.3093,0.942451,-45.4294,47.6619,0.51,106.25,-55.4,1,1,N,2.96,36.901,Axonal,N,NA,NA,NA,NA,NA,NA,none,N,Y,-72.9845375,NA,NA,0.458910375,0.241803414,NA,NA,NA,NA,NA,-0.336012475,0.099958111,NA,NA,NA,NA,lts
190321_S2C1,,190321,l2,l2_in,-73.118,39.3658,48.1721,5.30753,3.1902,4.55258,6.73191,0.815777,-38.5394,37.4519,0.1,522.5,-66.2219,1.1667,1.0493,Y,3.96,408.222,Y,Y,29,0,Y,NA,NA,NA,ap,N,N,-67.94149667,9.838574,1.856596191,10.02713233,1.872243764,3.6078,0.228088972,10.08775133,NA,NA,-0.665474657,1.827953493,NA,NA,1,0.937763105,fs
180321_S2C1_J,,190321,l2,l2_in,-72.1547,31.5772,43.2694,4.50022,4.67542,4.15998,2.56937,0.815029,-32.2025,30.8113,0.1,581.875,-59.8,1.6667,1.0367,Y,2.8,0,Axonal,N,NA,NA,NA,NA,NA,NA,none,N,Y,-68.00604,NA,NA,0.49103705,0.807814383,NA,NA,NA,NA,NA,-1.009198523,0.623311962,NA,NA,NA,NA,fs
517_S3C1,,517,l2,l2_pc,-64.105,176.532,246.825,18.5929,16.2368,30.2674,53.6774,0.607013,-45.2556,40.8644,0.45,63.125,-65.8125,NA,NA,N,4.56,NA,Axonal,Y,67.9,0,Y,-39.2,0,Y,ap,Y,N,-66.52574043,13.97530426,1.409272479,14.23325532,1.421114605,1.897531915,0.123087076,6.665559149,-5.725105957,1.001780003,-6.282051277,0.92589309,32.70180851,24.05218087,0.709391536,0.693787112,NA
562_S3C1,,562,l2,l2_pc,-65.7491,111.628,198.509,26.5028,26.2185,35.5842,42.8541,0.735503,-38.3544,50.2844,0.65,101.25,-56.5969,3.1667,1.2075,Y,4.72,270.5,Y,Y,50.5,0,Y,-8.8,0,Y,biphasic,Y,Y,-67.290694,6.6781616,0.935561029,6.8503162,0.932911144,3.277574468,0.679061813,43.31667447,-0.3996451,0.318380364,-0.651370452,0.282121324,NA,NA,0.94353546,0.913170133,NA
